hypothesis,registration,point,combo,mode,retcode,Id_A,Id_target_A,Id_err_rel,T_mN,T_target_mN,T_err_rel,T_err_sigma,Id_rms_rel,Id_pp_rel,Id_f_dominant_Hz,current_eff,anode_eff,error
H1,L38-hist,Xe1,c1=1/1000_c2=1/16_lt=0.05L,facility,success,3.416588339775574,7.582322357019064,-0.5494008063884557,26.634082600576278,82.32639228613156,-0.6764818442668116,-11.365777486848016,1.1656905820740693,4.212284612318678,6992.999999999998,1.2058173439937458,0.0899594985054326,
H1,L38-hist,Xe1,c1=1/1000_c2=1/16_lt=0.1L,facility,success,3.1025257943008624,7.582322357019064,-0.5908211695287776,26.193503361184924,82.32639228613156,-0.6818334602815166,-11.455691617336047,1.228859940399166,4.391741503800687,6992.999999999998,1.2099642702060995,0.09581554458960412,
H1,L38-hist,Xe1,c1=1/1000_c2=1/16_lt=0.2L,facility,success,3.277595180985667,7.582322357019064,-0.5677320184162903,31.30809949678246,82.32639228613156,-0.619707621974144,-10.411896487622263,1.2566842023010028,4.236320316552141,6992.999999999998,1.219262850451407,0.12957532111172076,
H1,L38-hist,Xe1,c1=1/1000_c2=1/32_lt=0.05L,facility,success,3.0164600948449403,7.582322357019064,-0.6021720057770216,25.582543268002933,82.32639228613156,-0.6892546538528145,-11.580377350638495,1.1333221547410282,4.11219884518417,5993.999999999999,1.3677829477708694,0.09400566929326466,
H1,L38-hist,Xe1,c1=1/1000_c2=1/32_lt=0.1L,facility,success,3.1213218398243043,7.582322357019064,-0.5883422396391718,27.7494079374968,82.32639228613156,-0.6629342405646581,-11.138160071149949,1.1219222674298603,4.087010604461531,5993.999999999999,1.3094347137601976,0.10688901801849886,
H1,L38-hist,Xe1,c1=1/1000_c2=1/32_lt=0.2L,facility,success,3.2715858839837457,7.582322357019064,-0.5685245588437436,33.07500008128232,82.32639228613156,-0.5982454816393791,-10.051304531601884,1.071244658516167,3.8236833963372305,5993.999999999999,1.400377328635448,0.14487904604658344,
H1,L38-hist,Xe1,c1=1/1000_c2=1/4_lt=0.05L,facility,success,3.4839013741387923,7.582322357019064,-0.5405231787707239,31.69393626041315,82.32639228613156,-0.615020950386621,-10.33315429096294,1.2588821385716804,4.346827661182832,6992.999999999998,1.1981807564775437,0.12492538709466434,
H1,L38-hist,Xe1,c1=1/1000_c2=1/4_lt=0.1L,facility,success,3.5451077951274685,7.582322357019064,-0.5324509262197601,31.750828300233465,82.32639228613156,-0.6143298956927314,-10.321543670591447,1.2672197046809603,4.680553679272471,6992.999999999998,1.1477926928630309,0.12320969122786474,
H1,L38-hist,Xe1,c1=1/1000_c2=1/4_lt=0.2L,facility,success,3.6911013200065725,7.582322357019064,-0.5131964659099902,38.303030668269145,82.32639228613156,-0.5347417807992353,-8.984359513849471,1.273128184875549,4.458099791675291,6992.999999999998,1.1951192936865163,0.1722163995046213,
H1,L38-hist,Xe1,c1=1/1000_c2=1/64_lt=0.05L,facility,success,2.653360088920027,7.582322357019064,-0.6500597094155759,19.775491427473966,82.32639228613156,-0.759791594428883,-12.76548997115461,1.2293014805665585,4.659916897179599,4994.999999999999,1.3917463477377763,0.06385906750711795,
H1,L38-hist,Xe1,c1=1/1000_c2=1/64_lt=0.1L,facility,success,2.637869965440887,7.582322357019064,-0.652102635414996,22.361192666505875,82.32639228613156,-0.7283836684014056,-12.237795840739933,1.1825516675129453,4.08448772363533,4994.999999999999,1.3358417151135138,0.08212979514232115,
H1,L38-hist,Xe1,c1=1/1000_c2=1/64_lt=0.2L,facility,success,2.6703413049354023,7.582322357019064,-0.647820129611948,25.70977960826424,82.32639228613156,-0.6877091429087774,-11.554410750585166,1.0899964962587436,3.7882992462233243,4994.999999999999,1.4122274924809555,0.10724921684027947,
H1,L38-hist,Xe1,c1=1/1000_c2=1/8_lt=0.05L,facility,success,3.444380974260923,7.582322357019064,-0.5457353549374737,26.725897018532905,82.32639228613156,-0.6753665953726595,-11.347039850530335,1.160914899137814,4.494076804199154,6992.999999999998,1.1553706519839884,0.08984989938716215,
H1,L38-hist,Xe1,c1=1/1000_c2=1/8_lt=0.1L,facility,success,3.4149935004423764,7.582322357019064,-0.5496111429130854,29.245579264612147,82.32639228613156,-0.6447605870670619,-10.832818983983552,1.268173787119315,4.651260917999131,6992.999999999998,1.1744889431739796,0.10851624807121575,
H1,L38-hist,Xe1,c1=1/1000_c2=1/8_lt=0.2L,facility,success,3.3504555127422417,7.582322357019064,-0.5581227815194804,33.88407091527657,82.32639228613156,-0.5884178818681872,-9.886188034868365,1.3293251735115927,4.722441586440792,6992.999999999998,1.1516027019006339,0.14847437429914637,
H1,L38-hist,Xe1,c1=1/100_c2=1/16_lt=0.05L,facility,success,4.753352842952302,7.582322357019064,-0.3731006650552049,69.0742055904692,82.32639228613156,-0.16097130370541915,-2.704527897073951,1.4702957203948026,5.378275852023907,5993.999999999999,0.8575841035098137,0.4349065414488015,
H1,L38-hist,Xe1,c1=1/100_c2=1/16_lt=0.1L,facility,success,4.651052752077995,7.582322357019064,-0.3865925856116563,69.69381819382932,82.32639228613156,-0.15344501005700314,-2.5780763453678044,1.5224715234553423,5.614099052874429,5993.999999999999,0.9022080762792787,0.4524821448659532,
H1,L38-hist,Xe1,c1=1/100_c2=1/16_lt=0.2L,facility,success,4.586073167286782,7.582322357019064,-0.3951624645658347,74.05930920759221,82.32639228613156,-0.10041838162671433,-1.6871598119468059,1.5841454452749506,5.909668049784681,5993.999999999999,0.9845709301060995,0.5181822469654632,
H1,L38-hist,Xe1,c1=1/100_c2=1/32_lt=0.05L,facility,success,4.6864425249499675,7.582322357019064,-0.3819251801380271,68.67239268581461,82.32639228613156,-0.16585203385156788,-2.786530530676928,1.9045299005809764,7.956495961818258,4994.999999999999,1.0087394323953607,0.43599876498057705,
H1,L38-hist,Xe1,c1=1/100_c2=1/32_lt=0.1L,facility,success,4.70255416496325,7.582322357019064,-0.379800284986561,66.42272401092043,82.32639228613156,-0.19317824859780972,-3.245646586777781,1.9008275645247708,7.747952466343958,4994.999999999999,0.9446021398176312,0.4065029983294796,
H1,L38-hist,Xe1,c1=1/100_c2=1/32_lt=0.2L,facility,success,4.705797853363357,7.582322357019064,-0.3793724888249926,69.88247312185248,82.32639228613156,-0.1511534614687025,-2.53957533964879,1.9328855635498143,8.306343317473535,4994.999999999999,1.0154589137455794,0.4496426104863355,
H1,L38-hist,Xe1,c1=1/100_c2=1/4_lt=0.05L,facility,success,5.525443105205509,7.582322357019064,-0.27127298932489624,78.68099462022145,82.32639228613156,-0.04427981798643939,-0.7439587073285945,0.9718893659639086,3.329180655139801,7991.999999999998,0.764145413404755,0.48544134977765896,
H1,L38-hist,Xe1,c1=1/100_c2=1/4_lt=0.1L,facility,success,5.557035030460612,7.582322357019064,-0.2671064656969661,82.17807169530825,82.32639228613156,-0.0018016165497428203,-0.030269508331288626,1.0266947617010447,3.4553909598429438,7991.999999999998,0.7953131519599711,0.5265419211834016,
H1,L38-hist,Xe1,c1=1/100_c2=1/4_lt=0.2L,facility,success,5.795948961355659,7.582322357019064,-0.23559713126806503,80.80731698308522,82.32639228613156,-0.018451862894303523,-0.31001536796864215,1.120296359825396,3.8785411107642984,7991.999999999998,0.7312158046536523,0.4881362018536571,
H1,L38-hist,Xe1,c1=1/100_c2=1/64_lt=0.05L,facility,success,4.162641320966502,7.582322357019064,-0.45100707606910356,59.333488370220266,82.32639228613156,-0.27928958475427573,-4.692429370594141,1.1904023278006322,4.3166482040064755,4994.999999999999,1.061683408251973,0.3664333300089983,
H1,L38-hist,Xe1,c1=1/100_c2=1/64_lt=0.1L,facility,success,4.1177480720110955,7.582322357019064,-0.45692785427419375,58.028312768607066,82.32639228613156,-0.2951432565279272,-4.958791738270304,1.3133972830036822,5.05562026835706,4994.999999999999,1.057793641972298,0.3543107337735257,
H1,L38-hist,Xe1,c1=1/100_c2=1/64_lt=0.2L,facility,success,4.10190627200986,7.582322357019064,-0.4590171613829282,55.34863568985109,82.32639228613156,-0.32769268574914895,-5.505664611485809,1.34283896638224,4.999656993375435,4994.999999999999,0.9926737950171312,0.323587922261647,
H1,L38-hist,Xe1,c1=1/100_c2=1/8_lt=0.05L,facility,success,5.24276725885152,7.582322357019064,-0.30855389523261084,82.80775665892331,82.32639228613156,0.0058470237723856015,0.09823762710035791,0.793246887888518,3.184120907373581,7991.999999999998,0.8791797653819495,0.5666901391243565,
H1,L38-hist,Xe1,c1=1/100_c2=1/8_lt=0.1L,facility,success,5.283036490127792,7.582322357019064,-0.3032429589020032,84.01480308364332,82.32639228613156,0.020508742708456772,0.34457363214525555,0.8220472722191784,3.2635041902232533,7991.999999999998,0.8785934384787807,0.5788848886107413,
H1,L38-hist,Xe1,c1=1/100_c2=1/8_lt=0.2L,facility,success,5.586623894397794,7.582322357019064,-0.263204117241708,84.7577925085282,82.32639228613156,0.029533666602881477,0.496204127019723,0.826683218420397,2.80783153164428,7991.999999999998,0.8361376800968802,0.557152437933588,
H1,L38-hist,Xe1,c1=1/160_c2=1/16_lt=0.05L,facility,success,3.3895329557506573,7.582322357019064,-0.5529690250358561,56.87859573482171,82.32639228613156,-0.30910860836539666,-5.193427867614255,2.306615972823494,11.741566254085047,10988.999999999998,1.1624771478616134,0.41354432549106207,
H1,L38-hist,Xe1,c1=1/160_c2=1/16_lt=0.1L,facility,success,3.4032883970285503,7.582322357019064,-0.551154878837606,51.519862087505714,82.32639228613156,-0.3741999296113382,-6.287046979311396,2.412485664292785,12.221562397601776,10988.999999999998,1.0423842039101678,0.33792072325421185,
H1,L38-hist,Xe1,c1=1/160_c2=1/16_lt=0.2L,facility,success,3.836253450375084,7.582322357019064,-0.49405297351624605,56.260732465596206,82.32639228613156,-0.31661365324915725,-5.319522412354153,2.43050461730024,11.912775245909192,10988.999999999998,1.0323099247668182,0.3574931029624619,
H1,L38-hist,Xe1,c1=1/160_c2=1/32_lt=0.05L,facility,success,3.9683377405760445,7.582322357019064,-0.47663294255717076,57.34653349218565,82.32639228613156,-0.30342467464293266,-5.0979303661114095,1.736458012390752,7.09184960160328,4994.999999999999,1.0626874159858737,0.3590623834433674,
H1,L38-hist,Xe1,c1=1/160_c2=1/32_lt=0.1L,facility,success,3.8751914932533946,7.582322357019064,-0.48891760191835226,57.36355177584416,82.32639228613156,-0.3032179574142782,-5.094457246997428,1.7457923209677682,7.010381569215677,4994.999999999999,1.0746816574452978,0.3679112727577128,
H1,L38-hist,Xe1,c1=1/160_c2=1/32_lt=0.2L,facility,success,3.922581285544103,7.582322357019064,-0.48266756531224053,60.99013468726466,82.32639228613156,-0.2591666779799015,-4.354338285483041,1.8276846496631325,7.749851240288475,4994.999999999999,1.1389100337900797,0.410876619006478,
H1,L38-hist,Xe1,c1=1/160_c2=1/4_lt=0.05L,facility,success,4.363139877620507,7.582322357019064,-0.42456418071153534,68.88162655721989,82.32639228613156,-0.1633105175091772,-2.7438297405942196,1.3251845036158687,5.162818734881771,6992.999999999998,0.953331119864313,0.4711637255130671,
H1,L38-hist,Xe1,c1=1/160_c2=1/4_lt=0.1L,facility,success,4.294558118504877,7.582322357019064,-0.433609134999471,69.82912590227738,82.32639228613156,-0.15180145803570488,-2.550462527317179,1.0826433706741692,4.094905361910099,7991.999999999998,0.9486454662193834,0.49194768646676545,
H1,L38-hist,Xe1,c1=1/160_c2=1/4_lt=0.2L,facility,success,4.826131750377081,7.582322357019064,-0.3635021668645541,78.55541956352641,82.32639228613156,-0.045805149696088406,-0.769586269919419,0.9463708988629035,3.5912689680030385,7991.999999999998,0.9640396591403682,0.5540096465868539,
H1,L38-hist,Xe1,c1=1/160_c2=1/64_lt=0.05L,facility,success,3.9346086631872192,7.582322357019064,-0.4810813260207941,52.96114468723899,82.32639228613156,-0.35669299702617174,-5.992907673243381,0.8236191583833815,2.7744798307765657,4994.999999999999,1.0968033601476186,0.30887117354182225,
H1,L38-hist,Xe1,c1=1/160_c2=1/64_lt=0.1L,facility,success,3.969661244567529,7.582322357019064,-0.4764583912878939,54.48184799994326,82.32639228613156,-0.338221359068092,-5.682560058405775,0.8663497824058405,2.9597438204390945,4994.999999999999,1.1531103702365189,0.32397717087890415,
H1,L38-hist,Xe1,c1=1/160_c2=1/64_lt=0.2L,facility,success,4.046179265303439,7.582322357019064,-0.46636675746740924,59.865401156695484,82.32639228613156,-0.2728285608747583,-4.58387574070124,0.9029516624655635,2.996238275034997,4994.999999999999,1.1709475917377132,0.38376986503670746,
H1,L38-hist,Xe1,c1=1/160_c2=1/8_lt=0.05L,facility,success,4.384676791303903,7.582322357019064,-0.42172376946689094,65.95169336014595,82.32639228613156,-0.19889975099448204,-3.341775291017472,0.8377888791749092,3.031024247801736,6992.999999999998,0.9361292132770743,0.42981197540547883,
H1,L38-hist,Xe1,c1=1/160_c2=1/8_lt=0.1L,facility,success,4.276059631519682,7.582322357019064,-0.43604882116871846,66.79144496779946,82.32639228613156,-0.18869947882981714,-3.1703974119045104,1.0382505623063696,4.658455320458676,6992.999999999998,0.9549171791625556,0.4520246522181635,
H1,L38-hist,Xe1,c1=1/160_c2=1/8_lt=0.2L,facility,success,4.385148384423412,7.582322357019064,-0.42166157307147223,67.54988473506627,82.32639228613156,-0.17948688313352082,-3.0156137859316905,1.38621661872939,5.615627445621045,6992.999999999998,0.9770902489592284,0.4508469401561897,
H1,L38-hist,Xe1,c1=1/250_c2=1/16_lt=0.05L,facility,success,3.787046424041523,7.582322357019064,-0.5005426773321237,46.28839644377812,82.32639228613156,-0.4377453553059957,-7.354693029051721,0.8162393863016753,3.4763080474354635,6992.999999999998,0.9710403235389669,0.2451364194232117,
H1,L38-hist,Xe1,c1=1/250_c2=1/16_lt=0.1L,facility,success,4.007761411159434,7.582322357019064,-0.4714335236025158,49.21730151910273,82.32639228613156,-0.4021686101822086,-6.756957299393638,0.7533484670235616,2.6976445933723174,7991.999999999998,1.0044946049297467,0.261877347449769,
H1,L38-hist,Xe1,c1=1/250_c2=1/16_lt=0.2L,facility,success,4.147993708068978,7.582322357019064,-0.4529388869586742,58.201686969134485,82.32639228613156,-0.29303731946797634,-4.92340924836675,0.49145476543794425,2.0616657698659964,6992.999999999998,1.028264984259881,0.3538321180786799,
H1,L38-hist,Xe1,c1=1/250_c2=1/32_lt=0.05L,facility,success,3.8828495650354036,7.582322357019064,-0.48790761165133073,47.02201243408747,82.32639228613156,-0.4288342883937033,-7.204975480008997,0.606243483682897,2.2832965448215163,6992.999999999998,1.0940566195764057,0.24672664583396245,
H1,L38-hist,Xe1,c1=1/250_c2=1/32_lt=0.1L,facility,success,3.8554573136857386,7.582322357019064,-0.4915202582864751,47.588016754541194,82.32639228613156,-0.42195916238931663,-7.089464394202116,0.5188210373014345,1.9168711317888292,6992.999999999998,1.0567072820600827,0.25449749269110716,
H1,L38-hist,Xe1,c1=1/250_c2=1/32_lt=0.2L,facility,success,3.725533248651949,7.582322357019064,-0.5086553864063601,50.74921420806435,82.32639228613156,-0.3835608144751243,-6.444322056748409,0.882459705113339,2.740727539487464,5993.999999999999,1.1075337199478275,0.2995259098612457,
H1,L38-hist,Xe1,c1=1/250_c2=1/4_lt=0.05L,facility,success,3.9907653493132096,7.582322357019064,-0.4736750613591492,53.97398626708994,82.32639228613156,-0.34439024025856374,-5.7862053100084925,1.0636197147162758,3.9449899664810983,7991.999999999998,1.006206899530226,0.3162838314925876,
H1,L38-hist,Xe1,c1=1/250_c2=1/4_lt=0.1L,facility,success,4.02110444858451,7.582322357019064,-0.46967376758096857,53.030669153369715,82.32639228613156,-0.3558484991172984,-5.97871900668609,0.9489015145021935,3.3406750265931557,7991.999999999998,0.983122212511166,0.3030212293533624,
H1,L38-hist,Xe1,c1=1/250_c2=1/4_lt=0.2L,facility,success,4.231872024580162,7.582322357019064,-0.44187653527251347,65.2347938499086,82.32639228613156,-0.20760776661777947,-3.4880813135148894,0.9874342222210307,3.861252338307505,7991.999999999998,1.0628035705900578,0.4357027071285263,
H1,L38-hist,Xe1,c1=1/250_c2=1/64_lt=0.05L,facility,success,3.695838160487359,7.582322357019064,-0.5125717443197243,41.67671261950833,82.32639228613156,-0.4937624319227085,-8.295852993188413,0.6249861376618061,2.4735895497895286,5993.999999999999,1.1777584158450078,0.20362831183314212,
H1,L38-hist,Xe1,c1=1/250_c2=1/64_lt=0.1L,facility,success,3.6940407898899097,7.582322357019064,-0.512808791824805,41.01552047753855,82.32639228613156,-0.5017937827885616,-8.43079016501898,0.6653625792765977,2.5781400153178304,5993.999999999999,1.1498666096979042,0.19731448255274697,
H1,L38-hist,Xe1,c1=1/250_c2=1/64_lt=0.2L,facility,success,3.6532081521755027,7.582322357019064,-0.5181940334159394,40.44344336716563,82.32639228613156,-0.5087426735936466,-8.547540595707332,0.6630731218572052,2.359279216404953,5993.999999999999,1.074966914534869,0.19399298530186665,
H1,L38-hist,Xe1,c1=1/250_c2=1/8_lt=0.05L,facility,success,4.109868666022559,7.582322357019064,-0.457967035361139,50.795756508229196,82.32639228613156,-0.3829954757195635,-6.434823628143338,0.8957944458879908,3.2109505440048447,7991.999999999998,0.9883310151813108,0.2720139124445443,
H1,L38-hist,Xe1,c1=1/250_c2=1/8_lt=0.1L,facility,success,4.176543491186451,7.582322357019064,-0.449173578419524,57.80189398849922,82.32639228613156,-0.29789351405556086,-5.00499965257803,0.8367305043354377,3.028454557374228,7991.999999999998,1.0714429382803552,0.3466022084801506,
H1,L38-hist,Xe1,c1=1/250_c2=1/8_lt=0.2L,facility,success,4.180410644712707,7.582322357019064,-0.4486635561144612,61.00387051663716,82.32639228613156,-0.25899983197838156,-4.351535054998857,0.8015816701602109,3.0605364303362514,7991.999999999998,1.092122342190702,0.38570923013215863,
H1,L38-hist,Xe1,c1=1/500_c2=1/16_lt=0.05L,facility,success,3.4889568063713203,7.582322357019064,-0.5398564394797137,37.565859012646406,82.32639228613156,-0.5436960375709962,-9.13480270887452,1.1512751643406551,4.191165310788258,6992.999999999998,1.2092367458831945,0.17524888000014413,
H1,L38-hist,Xe1,c1=1/500_c2=1/16_lt=0.1L,facility,success,3.5007217812726683,7.582322357019064,-0.538304807361296,40.779648644474804,82.32639228613156,-0.5046588644047213,-8.4789272738075,1.1404007559025564,3.8680618233809883,6992.999999999998,1.2561132076751622,0.20582283600355078,
H1,L38-hist,Xe1,c1=1/500_c2=1/16_lt=0.2L,facility,success,3.718533340659004,7.582322357019064,-0.5095785742719439,43.10351194660352,82.32639228613156,-0.47643142436274843,-8.004669457046539,1.0881407125400226,3.6395804699674597,6992.999999999998,1.1983994277516314,0.2164800248069824,
H1,L38-hist,Xe1,c1=1/500_c2=1/32_lt=0.05L,facility,success,3.259986040623951,7.582322357019064,-0.5700544124708526,30.189687578942785,82.32639228613156,-0.6332927176741056,-10.640143817793625,0.983991003547092,3.4802187356651118,6992.999999999998,1.1488923948837522,0.12113389794302543,
H1,L38-hist,Xe1,c1=1/500_c2=1/32_lt=0.1L,facility,success,3.4007302878227303,7.582322357019064,-0.5514922568974364,36.36764180948942,82.32639228613156,-0.5582505099568684,-9.379336831967782,0.9749511911833847,3.269469021842284,6992.999999999998,1.2857743136621542,0.16850868445712466,
H1,L38-hist,Xe1,c1=1/500_c2=1/32_lt=0.2L,facility,success,3.5427535085323254,7.582322357019064,-0.5327614229889938,39.05127274809336,82.32639228613156,-0.5256530540975519,-8.831657048579222,0.9200916413703578,3.118460158553319,6992.999999999998,1.2287680907966096,0.18650635925063508,
H1,L38-hist,Xe1,c1=1/500_c2=1/4_lt=0.05L,facility,success,3.4053692281513106,7.582322357019064,-0.5508804469386729,35.58544455709989,82.32639228613156,-0.5677516824322874,-9.538968924292178,1.3052158698841367,4.781442426093093,7991.999999999998,1.0690933309043802,0.16111826613328295,
H1,L38-hist,Xe1,c1=1/500_c2=1/4_lt=0.1L,facility,success,3.4233325290573102,7.582322357019064,-0.5485113441677558,38.01441780006182,82.32639228613156,-0.5382474957977041,-9.043260099197905,1.3322050045965927,4.988089614608475,7991.999999999998,1.0440322430038962,0.18289919574281766,
H1,L38-hist,Xe1,c1=1/500_c2=1/4_lt=0.2L,facility,success,3.8132625540480394,7.582322357019064,-0.4970851443004071,55.23040674482838,82.32639228613156,-0.32912878590779304,-5.5297929676128925,1.231863200489075,4.307221960688884,7991.999999999998,1.2901762357993254,0.3465963381422372,
H1,L38-hist,Xe1,c1=1/500_c2=1/64_lt=0.05L,facility,success,2.9690538324085476,7.582322357019064,-0.6084242145600613,28.028569971471164,82.32639228613156,-0.6595433227043915,-11.081188227481713,0.8986263950004247,2.9201438736406584,5993.999999999999,1.2722288951768317,0.11464312202232917,
H1,L38-hist,Xe1,c1=1/500_c2=1/64_lt=0.1L,facility,success,2.984737817341117,7.582322357019064,-0.6063557210043828,32.65265489174613,82.32639228613156,-0.6033756127894032,-10.137497427425597,0.9434635724474439,3.245042777830724,5993.999999999999,1.4172799871962374,0.15477292982818616,
H1,L38-hist,Xe1,c1=1/500_c2=1/64_lt=0.2L,facility,success,3.0662903482122323,7.582322357019064,-0.5956001072186382,30.279142597383505,82.32639228613156,-0.632206127870318,-10.621887691581234,0.9067157083560512,2.8769764229973553,5993.999999999999,1.237599293866919,0.1295501935157697,
H1,L38-hist,Xe1,c1=1/500_c2=1/8_lt=0.05L,facility,success,3.5456870613696037,7.582322357019064,-0.5323745292776545,40.47792808392227,82.32639228613156,-0.5083237955668191,-8.540502898410057,1.241608228003903,4.235937248901861,6992.999999999998,1.1726032196795064,0.2002167197652227,
H1,L38-hist,Xe1,c1=1/500_c2=1/8_lt=0.1L,facility,success,3.4528830236667463,7.582322357019064,-0.5446140560786943,43.54410637013892,82.32639228613156,-0.4710796239096922,-7.914752227753599,1.2834023114850566,4.727205849197117,6992.999999999998,1.2393069008873572,0.23792555678901947,
H1,L38-hist,Xe1,c1=1/500_c2=1/8_lt=0.2L,facility,success,3.403409028203247,7.582322357019064,-0.5511389693089661,40.30133195106516,82.32639228613156,-0.5104688687074389,-8.576542925523754,1.2669048939566718,4.379165813495372,7991.999999999998,1.0936176479895912,0.20677062876606322,
H1,L38-hist,Xe1,c1=1/50_c2=1/16_lt=0.05L,facility,success,6.39358063003947,7.582322357019064,-0.15677805176393722,79.86591696856982,82.32639228613156,-0.029886835184155497,-0.5021378199105601,0.7405840432043521,2.4538588851214476,6992.999999999998,0.6421759853626414,0.4322579740769534,
H1,L38-hist,Xe1,c1=1/50_c2=1/16_lt=0.1L,facility,success,6.420424009253223,7.582322357019064,-0.1532377935224892,85.34622629825304,82.32639228613156,0.03668123827928501,0.6162926555349966,0.7539404392782822,2.4886918467740053,6992.999999999998,0.7045984484913552,0.4915516194769122,
