hypothesis,registration,coil,point,combo,mode,retcode,Id_A,Id_target_A,Id_err_rel,T_mN,T_target_mN,T_err_rel,T_err_sigma,Id_rms_rel,Id_pp_rel,Id_f_dominant_Hz,current_eff,anode_eff,error
H1a,L38-hist,1p6kW,Xe1,c_up=1/25_c_exit=1/100_c_plume=1/32,vacuum,success,3.4396688466395657,6.960964151571712,-0.5058631574962321,45.750320638054866,72.8,-0.37156152969704864,-5.520342726927579,3.269443578596083,20.991341451728204,6992.999999999998,0.8643282889908352,0.2636548998479077,
H1a,L38-hist,1p6kW,Xe1,c_up=1/25_c_exit=1/100_c_plume=1/8,vacuum,success,5.347221575001649,6.960964151571712,-0.23182745111619302,72.96824828588043,72.8,0.0023111028280278336,0.03433638487355638,1.1746230822174755,4.429901269774454,5993.999999999999,0.6984955344648179,0.43142355777780905,
H1a,L38-hist,1p6kW,Xe1,c_up=1/25_c_exit=1/300_c_plume=1/16,vacuum,success,3.0116658808612202,6.960964151571712,-0.5673493189616243,46.316133237146936,72.8,-0.36378937861061905,-5.4048707679291965,3.414393583095265,22.36496407833917,3995.999999999999,0.9071683540880582,0.3086185282389787,
H1a,L38-hist,1p6kW,Xe1,c_up=1/25_c_exit=1/300_c_plume=1/32,vacuum,success,3.936193479850769,6.960964151571712,-0.43453329249483086,65.90459529167991,72.8,-0.09471709764175948,-1.4072254506775694,2.8306912983494192,14.727370369447138,9989.999999999998,0.968072380752956,0.4781004503698,
H1a,L38-hist,1p6kW,Xe1,c_up=1/25_c_exit=1/300_c_plume=1/8,vacuum,success,4.04571610761232,6.960964151571712,-0.4187994623275226,55.527438904792305,72.8,-0.23726045460450138,-3.5250124684097344,1.1928387039568713,4.341806344743796,5993.999999999999,0.8510741709826805,0.33020532824634485,
H1a,L38-hist,1p6kW,Xe1,c_up=1/25_c_exit=1/800_c_plume=1/16,vacuum,success,3.469223834141858,6.960964151571712,-0.5016173394085726,40.968600172443615,72.8,-0.4372445031257745,-6.496204046440078,0.38859246374369216,2.0585396278679835,5993.999999999999,1.0636176405113686,0.20962067943680465,
H1a,L38-hist,1p6kW,Xe1,c_up=1/25_c_exit=1/800_c_plume=1/32,vacuum,success,3.4830698857946185,6.960964151571712,-0.4996282397161637,33.51139394970245,72.8,-0.5396786545370543,-8.018082867407664,0.2789070668395722,1.6903226439163446,5993.999999999999,1.0473435308058106,0.13969697229965677,
H1a,L38-hist,1p6kW,Xe1,c_up=1/25_c_exit=1/800_c_plume=1/8,vacuum,success,3.5577097595452076,6.960964151571712,-0.48890560530441546,44.153230535486585,72.8,-0.39349958055650297,-5.846279482553758,0.7673195832987415,4.188938869359051,5993.999999999999,1.01756866688076,0.23742073771914654,
H1a,L38-hist,1p6kW,Xe1,c_up=1/64_c_exit=1/100_c_plume=1/16,vacuum,success,4.42616105526325,6.960964151571712,-0.3641454030094567,65.93209739027704,72.8,-0.0943393215621286,-1.4016127774944818,0.38840014972359177,1.3864519867500058,4994.999999999999,0.8639632440891378,0.42553057068949346,
H1a,L38-hist,1p6kW,Xe1,c_up=1/64_c_exit=1/100_c_plume=1/32,vacuum,success,3.7836553975797322,6.960964151571712,-0.45644664802282847,57.299013732769154,72.8,-0.2129256355388853,-3.163466585149153,1.463342315707694,5.299578247944987,4994.999999999999,0.9624364418746421,0.37596456429947683,
H1a,L38-hist,1p6kW,Xe1,c_up=1/64_c_exit=1/100_c_plume=1/8,vacuum,success,4.398593513499598,6.960964151571712,-0.3681057080998697,61.09602268512428,72.8,-0.16076891916038077,-2.388566798954228,0.7448200519289083,2.710056627872979,6992.999999999998,0.7969348850854943,0.3676852801694777,
H1a,L38-hist,1p6kW,Xe1,c_up=1/64_c_exit=1/300_c_plume=1/16,vacuum,success,3.015139395793649,6.960964151571712,-0.5668503198493182,45.9804583870586,72.8,-0.3684002968810633,-5.473375839375797,2.838324687548738,15.187150525247974,3995.999999999999,0.9872111683576533,0.303810929431893,
H1a,L38-hist,1p6kW,Xe1,c_up=1/64_c_exit=1/300_c_plume=1/32,vacuum,success,2.4319736029027856,6.960964151571712,-0.650626903120357,36.77145561039443,72.8,-0.4948975877693073,-7.352764161143994,2.244041757031635,11.255338035775006,3995.999999999999,1.0576417233531685,0.24089455442589178,
H1a,L38-hist,1p6kW,Xe1,c_up=1/64_c_exit=1/300_c_plume=1/8,vacuum,success,3.2828231908443497,6.960964151571712,-0.5283953315428118,55.88784585305469,72.8,-0.23230980971078719,-3.451460029988838,2.803861176171166,16.661444788394483,3995.999999999999,1.0194928818672675,0.4122412474721234,
H1a,L38-hist,1p6kW,Xe1,c_up=1/64_c_exit=1/800_c_plume=1/16,vacuum,success,3.1801020680034036,6.960964151571712,-0.543152069345829,32.24686133722902,72.8,-0.5570486080050958,-8.27615074750428,1.1421793036755938,5.5009116719760405,5993.999999999999,1.1498177388776596,0.14167657081936486,
H1a,L38-hist,1p6kW,Xe1,c_up=1/64_c_exit=1/800_c_plume=1/32,vacuum,success,3.132437827878798,6.960964151571712,-0.549999431160477,27.159427675350244,72.8,-0.6269309385254087,-9.314402515234642,1.1125280235691628,4.131001974126884,5993.999999999999,1.2072235445834811,0.10202884337257757,
H1a,L38-hist,1p6kW,Xe1,c_up=1/64_c_exit=1/800_c_plume=1/8,vacuum,success,3.2134446932871734,6.960964151571712,-0.5383621258038498,37.57009091606077,72.8,-0.4839273225815829,-7.18977736406923,1.1672917762475146,4.836741408310301,5993.999999999999,1.1811495184652494,0.190317120367218,
H1a,L38-hist,1p6kW,Xe2,c_up=1/160_c_exit=1/100_c_plume=1/16,vacuum,success,3.304883253899908,8.044447084198758,-0.5891721060119224,50.04056564272252,83.4,-0.39999321771315927,-6.8080478280158125,1.4833944723866457,5.291237156529124,5993.999999999999,0.9951720510525426,0.3027104740916275,
H1a,L38-hist,1p6kW,Xe2,c_up=1/160_c_exit=1/100_c_plume=1/32,vacuum,success,3.3827323691852933,8.044447084198758,-0.5794947329780069,51.272585065348686,83.4,-0.38522080257375674,-6.556615292785982,1.155804657110763,3.993191508758838,5993.999999999999,1.041493267628985,0.31048594097175924,
H1a,L38-hist,1p6kW,Xe2,c_up=1/160_c_exit=1/100_c_plume=1/8,vacuum,success,3.676924506124473,8.044447084198758,-0.5429238992264809,58.43647116817761,83.4,-0.29932288767173126,-5.0945977207800786,1.3614387863838855,4.591113471145313,6992.999999999998,0.9838159578255992,0.37104142692750947,
H1a,L38-hist,1p6kW,Xe2,c_up=1/160_c_exit=1/300_c_plume=1/16,vacuum,success,3.2476543930902526,8.044447084198758,-0.5962861885847404,42.4633016554444,83.4,-0.4908477019730888,-8.354428233582775,1.0518737111686272,4.1312372396917825,6992.999999999998,1.1931684478120688,0.22181803905317515,
H1a,L38-hist,1p6kW,Xe2,c_up=1/160_c_exit=1/300_c_plume=1/32,vacuum,success,3.0743036560787567,8.044447084198758,-0.6178353062801006,33.78425149182765,83.4,-0.5949130516567427,-10.125662960851498,0.9507564941434041,3.507459329739468,6992.999999999998,1.0749450376462197,0.1483272659083381,
H1a,L38-hist,1p6kW,Xe2,c_up=1/160_c_exit=1/300_c_plume=1/8,vacuum,success,3.310391148012955,8.044447084198758,-0.5884874232667445,39.149023096102894,83.4,-0.5305872530443299,-9.030811613040225,1.0367844265051216,4.132732143171035,6992.999999999998,0.9966231222036437,0.1849701706037751,
H1a,L38-hist,1p6kW,Xe2,c_up=1/160_c_exit=1/800_c_plume=1/16,vacuum,success,2.9919049211879036,8.044447084198758,-0.6280782395766231,24.791356867899076,83.4,-0.7027415243657186,-11.96094757797978,1.211489636529414,4.360783940417538,5993.999999999999,1.1156105809706205,0.08207142163287427,
