hypothesis,registration,coil,point,combo,mode,retcode,Id_A,Id_target_A,Id_err_rel,T_mN,T_target_mN,T_err_rel,T_err_sigma,Id_rms_rel,Id_pp_rel,Id_f_dominant_Hz,current_eff,anode_eff,error
H1a,L38-hist,1p6kW,Xe1,c_up=1/160_c_exit=1/100_c_plume=1/16,facility,success,3.9837700802281852,7.582322357019064,-0.4745976374190484,61.441310998141745,82.32639228613156,-0.2536863417432669,-4.26226148734486,1.6457279455444411,6.153480582407638,5993.999999999999,1.0705855913160442,0.4105734647824296,
H1a,L38-hist,1p6kW,Xe1,c_up=1/160_c_exit=1/100_c_plume=1/32,facility,success,3.8872910399422156,7.582322357019064,-0.4873218445607638,62.621089055384935,82.32639228613156,-0.23935584547734537,-4.021490455254412,1.3866122554854747,4.694249845436999,5993.999999999999,1.1853071948227578,0.43707741986201265,
H1a,L38-hist,1p6kW,Xe1,c_up=1/160_c_exit=1/100_c_plume=1/8,facility,success,4.039938001309711,7.582322357019064,-0.4671898910272678,62.15363486240547,82.32639228613156,-0.24503390545299447,-4.1168892701481825,1.7990686651894092,6.914885388415151,5993.999999999999,1.012188019159201,0.41430727506892545,
H1a,L38-hist,1p6kW,Xe1,c_up=1/160_c_exit=1/300_c_plume=1/16,facility,success,3.7435464019652187,7.582322357019064,-0.5062797088151014,47.0616001014451,82.32639228613156,-0.42835342598423387,-7.1968963642217245,0.8651097599416946,3.307509857049628,5993.999999999999,1.1779619366272662,0.2563388037029129,
H1a,L38-hist,1p6kW,Xe1,c_up=1/160_c_exit=1/300_c_plume=1/32,facility,success,3.7005700486282294,7.582322357019064,-0.5119476758723455,35.91051028013546,82.32639228613156,-0.5638031828805787,-9.472628980815529,0.7948891002728773,3.5650225976856738,5993.999999999999,1.10631454695578,0.15098670892771116,
H1a,L38-hist,1p6kW,Xe1,c_up=1/160_c_exit=1/300_c_plume=1/8,facility,success,3.6681592146147897,7.582322357019064,-0.5162222018668037,44.04210298644934,82.32639228613156,-0.4650305720506043,-7.813120265241268,0.9854872645380283,4.616373096076646,6992.999999999998,1.0732751481857155,0.22911425664001225,
H1a,L38-hist,1p6kW,Xe1,c_up=1/160_c_exit=1/800_c_plume=1/16,facility,success,3.5408785086877548,7.582322357019064,-0.5330087086827806,28.20846603416046,82.32639228613156,-0.6573581660651445,-11.044474745300223,1.0495340272898,4.492302792970364,6992.999999999998,1.1791279803195525,0.09736707187909135,
H1a,L38-hist,1p6kW,Xe1,c_up=1/160_c_exit=1/800_c_plume=1/32,facility,success,3.4970876957941144,7.582322357019064,-0.5387840913204105,19.976852553358654,82.32639228613156,-0.7573457065393124,-12.724395863831203,0.9636482456653059,3.715441376223048,5993.999999999999,1.1803931283646365,0.04944379540235462,
H1a,L38-hist,1p6kW,Xe1,c_up=1/160_c_exit=1/800_c_plume=1/8,facility,success,3.8374857735184063,7.582322357019064,-0.4938904476982582,32.70022860726329,82.32639228613156,-0.6027977456656768,-10.127788505891482,1.0515958305701265,4.4777039019680505,5993.999999999999,1.1663810653061872,0.12073105472398507,
H1a,L38-hist,1p6kW,Xe1,c_up=1/25_c_exit=1/100_c_plume=1/16,facility,success,5.570265731713785,7.582322357019064,-0.26536152521169054,74.95776940052662,82.32639228613156,-0.08950498960278423,-1.5038005888989674,1.088617057268104,3.7930307760918915,5993.999999999999,0.7217206170647271,0.4370404053015194,
