hypothesis,registration,coil,point,combo,mode,retcode,Id_A,Id_target_A,Id_err_rel,T_mN,T_target_mN,T_err_rel,T_err_sigma,Id_rms_rel,Id_pp_rel,Id_f_dominant_Hz,current_eff,anode_eff,error
H1a,L38-hist,1p6kW,Xe1,a=1/16_b=0.8_c=0.9L_w=0.1L,vacuum,success,7.345854106008513,6.960964151571712,0.05529262125992947,87.65717013883679,72.8,0.2040820074016043,3.0320755385381206,2.2192674542694304,11.73152948386987,4994.999999999999,0.5392556475343029,0.4532071877138641,
H1a,L38-hist,1p6kW,Xe1,a=1/16_b=0.8_c=0.9L_w=0.25L,vacuum,success,5.838057531116431,6.960964151571712,-0.16131481156985142,81.70999236286495,72.8,0.12239000498440868,1.818365788339786,0.7245343330736277,3.6283028568177302,5993.999999999999,0.6299326001433501,0.49550285927506593,
H1a,L38-hist,1p6kW,Xe1,a=1/16_b=0.8_c=1.1L_w=0.1L,vacuum,success,6.306236577113851,6.960964151571712,-0.09405702431466056,76.21264400721995,72.8,0.04687697812115301,0.6964579606571304,2.6384053603706503,13.85568932207416,3995.999999999999,0.6339326839894724,0.3990690008115766,
H1a,L38-hist,1p6kW,Xe1,a=1/16_b=0.8_c=1.1L_w=0.25L,vacuum,success,5.771451836005032,6.960964151571712,-0.17088326985538357,73.59056415087139,72.8,0.010859397676804649,0.1613396226268119,1.0249089505337325,3.887441711136509,4994.999999999999,0.609799035491439,0.4065588173088465,
H1a,L38-hist,1p6kW,Xe1,a=1/16_b=0.8_c=1L_w=0.1L,vacuum,success,6.08932699823627,6.960964151571712,-0.12521787705782617,66.01388702845824,72.8,-0.09321583752117803,-1.3849210146003592,2.630050349381457,14.871281938979438,3995.999999999999,0.507897417018758,0.31007411324551004,
H1a,L38-hist,1p6kW,Xe1,a=1/16_b=0.8_c=1L_w=0.25L,vacuum,success,6.2762558980361485,6.960964151571712,-0.09836399651346629,83.25587370227689,72.8,0.14362463876753956,2.133851775974873,0.8217615697638583,3.2386527771516156,5993.999999999999,0.6106735359484903,0.47851253450222997,
H1a,L38-hist,1p6kW,Xe1,a=1/16_b=0.97_c=0.9L_w=0.1L,vacuum,success,5.754955003817826,6.960964151571712,-0.17325317606779833,85.65399573754608,72.8,0.17656587551574274,2.623264436233892,0.013325539745428964,0.07291166387599558,4994.999999999999,0.6344239689605568,0.5523540187666559,
H1a,L38-hist,1p6kW,Xe1,a=1/16_b=0.97_c=0.9L_w=0.25L,vacuum,success,4.132575668177345,6.960964151571712,-0.4063213689666463,73.07358843967961,72.8,0.0037580829626319154,0.05583437544481702,0.2851327950899369,1.1140044851133306,8990.999999999998,0.8456694256237799,0.5598404199407649,
H1a,L38-hist,1p6kW,Xe1,a=1/16_b=0.97_c=1.1L_w=0.1L,vacuum,success,4.450409099135169,6.960964151571712,-0.36066197121122745,64.73777275935437,72.8,-0.11074487967919826,-1.6453524980909453,3.3949140308249075,20.380592897599747,6992.999999999998,0.8079288903512167,0.4080184186437877,
H1a,L38-hist,1p6kW,Xe1,a=1/16_b=0.97_c=1.1L_w=0.25L,vacuum,success,4.786116775457785,6.960964151571712,-0.3124347904625927,77.22123972507683,72.8,0.06073131490490145,0.90229382144425,3.0968947739959463,16.50168506134866,6992.999999999998,0.8421207103127673,0.5398268030970672,
H1a,L38-hist,1p6kW,Xe1,a=1/16_b=0.97_c=1L_w=0.1L,vacuum,success,5.272906861763826,6.960964151571712,-0.24250337353436022,76.70649530235261,72.8,0.05366064975759062,0.797243939255632,2.3278384764586213,9.092396886894017,3995.999999999999,0.6897073923251221,0.48347984712939973,
H1a,L38-hist,1p6kW,Xe1,a=1/16_b=0.97_c=1L_w=0.25L,vacuum,success,4.1554971662893205,6.960964151571712,-0.4030285064244939,62.545913608459514,72.8,-0.1408528350486331,-2.09267069215112,0.9095657153243188,3.500356924371246,4994.999999999999,0.8637338497648175,0.4078862697029488,
H1a,L38-hist,1p6kW,Xe1,a=1/16_b=0.9_c=0.9L_w=0.1L,vacuum,success,6.687730034822119,6.960964151571712,-0.03925233786585442,87.12885608405266,72.8,0.1968249462095145,2.9242563436842146,1.5394028860971933,5.406703253195838,4994.999999999999,0.554061509290198,0.491823738205981,
H1a,L38-hist,1p6kW,Xe1,a=1/16_b=0.9_c=0.9L_w=0.25L,vacuum,success,4.9886103481004636,6.960964151571712,-0.2833449160955544,73.27212691881343,72.8,0.006485259873810679,0.09635243241090152,0.45699408276041475,2.1562890890988786,5993.999999999999,0.7221186903060173,0.4662965570558161,
H1a,L38-hist,1p6kW,Xe1,a=1/16_b=0.9_c=1.1L_w=0.1L,vacuum,success,6.245471110112185,6.960964151571712,-0.1027864855902147,73.59025460451147,72.8,0.010855145666366384,0.16127644990030054,2.8427021956435667,15.55045310686673,3995.999999999999,0.610363622285647,0.375698622490854,
