eta_c,C_D,K_back,CR_passive,eta_open,unresolved_fraction,converged,scattering,mean_wall_hits,mass_kg,alpha,theta_deg,L_over_d,phi,d_mm,species
0.8,2.72124055266424,0.99945,60.59125068512835,1.0,0.0,True,cll,0.3240833333333333,1.329426,0.0,0.0,3,0.8,10.0,N2
0.7995126616152767,2.7179275087786734,0.99955,60.54828197214645,1.0,0.0,True,cll,0.3434166666666666,1.329426,0.0,2.0,3,0.8,10.0,N2
0.7969557584733965,2.700828029151554,0.99945,60.36068268327271,1.0,0.0,True,cll,0.45,1.329426,0.0,5.0,3,0.8,10.0,N2
0.8,2.72124055266424,0.685,88.40573065292193,1.0,0.0,True,cll,0.32425,1.329426,0.2,0.0,3,0.8,10.0,N2
0.7995126616152767,2.7179275087786734,0.68455,88.40995580346065,1.0,0.0,True,cll,0.3434166666666666,1.329426,0.2,2.0,3,0.8,10.0,N2
0.7969557584733965,2.700828029151554,0.6918,87.203648898232,1.0,0.0,True,cll,0.4509166666666667,1.329426,0.2,5.0,3,0.8,10.0,N2
0.8,2.72124055266424,0.46855,129.245385758727,1.0,0.0,True,cll,0.3276666666666666,1.329426,0.5,0.0,3,0.8,10.0,N2
0.7995126616152767,2.7179275087786734,0.4677,129.4014009947808,1.0,0.0,True,cll,0.3454166666666666,1.329426,0.5,2.0,3,0.8,10.0,N2
0.7969557584733965,2.700828029151554,0.47555,126.85834151571214,1.0,0.0,True,cll,0.4551666666666666,1.329426,0.5,5.0,3,0.8,10.0,N2
0.7998666666666667,2.721257149178316,0.33675,179.80054197377476,0.9998333333333334,0.0,True,cll,0.3435,1.329426,0.8,0.0,3,0.8,10.0,N2
0.7992461573947383,2.717968678620144,0.33595,180.08888693806787,0.9996666666666668,0.0,True,cll,0.3608333333333333,1.329426,0.8,2.0,3,0.8,10.0,N2
0.7966901065539054,2.700862149537271,0.3376,178.63558988851,0.9996666666666668,0.0,True,cll,0.4859166666666666,1.329426,0.8,5.0,3,0.8,10.0,N2
0.6742666666666667,2.7390890816151248,0.27505,185.56712672823176,0.8428333333333333,0.0,True,cll,2.29425,1.329426,1.0,0.0,3,0.8,10.0,N2
0.6671266900628138,2.737229497412144,0.26815,188.326535493436,0.8344166666666667,0.0,True,cll,2.469583333333333,1.329426,1.0,2.0,3,0.8,10.0,N2
0.6256102704016163,2.726074455881709,0.2667,177.56683607656765,0.785,0.0,True,cll,3.159083333333333,1.329426,1.0,5.0,3,0.8,10.0,N2
0.9,2.708567624049933,0.99945,60.59125068512836,1.0,0.0,True,cll,0.3240833333333333,1.495233,0.0,0.0,3,0.9,10.0,N2
0.8994517443171862,2.705259591489243,0.99955,60.548281972146455,1.0,0.0,True,cll,0.3434166666666666,1.495233,0.0,2.0,3,0.9,10.0,N2
0.896575228282571,2.688217695665743,0.99945,60.36068268327271,1.0,0.0,True,cll,0.45,1.495233,0.0,5.0,3,0.9,10.0,N2
0.9,2.708567624049933,0.685,88.40573065292193,1.0,0.0,True,cll,0.32425,1.495233,0.2,0.0,3,0.9,10.0,N2
0.8994517443171862,2.705259591489243,0.68455,88.40995580346066,1.0,0.0,True,cll,0.3434166666666666,1.495233,0.2,2.0,3,0.9,10.0,N2
0.896575228282571,2.688217695665743,0.6918,87.20364889823202,1.0,0.0,True,cll,0.4509166666666667,1.495233,0.2,5.0,3,0.9,10.0,N2
0.9,2.708567624049933,0.46855,129.245385758727,1.0,0.0,True,cll,0.3276666666666666,1.495233,0.5,0.0,3,0.9,10.0,N2
0.8994517443171862,2.705259591489243,0.4677,129.40140099478083,1.0,0.0,True,cll,0.3454166666666666,1.495233,0.5,2.0,3,0.9,10.0,N2
0.896575228282571,2.688217695665743,0.47555,126.85834151571214,1.0,0.0,True,cll,0.4551666666666666,1.495233,0.5,5.0,3,0.9,10.0,N2
0.89985,2.7085862951282684,0.33675,179.80054197377476,0.9998333333333334,0.0,True,cll,0.3435,1.495233,0.8,0.0,3,0.9,10.0,N2
0.8991519270690805,2.7053059075608985,0.33595,180.0888869380679,0.9996666666666668,0.0,True,cll,0.3608333333333333,1.495233,0.8,2.0,3,0.9,10.0,N2
