alt_km,f107,rho,fO,fN2,fO2,T
2.38000000e+02,7.00000000e+01,5.04512820e-11,6.01965969e-01,3.66296710e-01,3.17373216e-02,7.61355469e+02
2.40000000e+02,7.00000000e+01,4.74816193e-11,6.10172110e-01,3.59056162e-01,3.07717278e-02,7.62127502e+02
2.42000000e+02,7.00000000e+01,4.47069569e-11,6.18294521e-01,3.51875893e-01,2.98295864e-02,7.62859680e+02
2.44000000e+02,7.00000000e+01,4.21130179e-11,6.26330486e-01,3.44758893e-01,2.89106209e-02,7.63553772e+02
2.46000000e+02,7.00000000e+01,3.96867018e-11,6.34276531e-01,3.37708977e-01,2.80144912e-02,7.64211914e+02
2.48000000e+02,7.00000000e+01,3.74159558e-11,6.42130721e-01,3.30728383e-01,2.71408956e-02,7.64836243e+02
2.50000000e+02,7.00000000e+01,3.52896774e-11,6.49890160e-01,3.23820275e-01,2.62895650e-02,7.65428406e+02
2.52000000e+02,7.00000000e+01,3.32976598e-11,6.57552626e-01,3.16987220e-01,2.54601540e-02,7.65990173e+02
2.54000000e+02,7.00000000e+01,3.14304797e-11,6.65116012e-01,3.10231638e-01,2.46523502e-02,7.66523315e+02
2.56000000e+02,7.00000000e+01,2.96794499e-11,6.72578056e-01,3.03556128e-01,2.38658155e-02,7.67029236e+02
2.58000000e+02,7.00000000e+01,2.80365713e-11,6.79937181e-01,2.96962602e-01,2.31002165e-02,7.67509460e+02
2.60000000e+02,7.00000000e+01,2.64944126e-11,6.87191685e-01,2.90453078e-01,2.23552373e-02,7.67965332e+02
2.62000000e+02,7.00000000e+01,2.50461128e-11,6.94339505e-01,2.84029954e-01,2.16305413e-02,7.68398071e+02
2.64000000e+02,7.00000000e+01,2.36853818e-11,7.01380108e-01,2.77694130e-01,2.09257618e-02,7.68809204e+02
2.66000000e+02,7.00000000e+01,2.24063164e-11,7.08311846e-01,2.71447598e-01,2.02405559e-02,7.69199280e+02
2.68000000e+02,7.00000000e+01,2.12035025e-11,7.15133730e-01,2.65291685e-01,1.95745846e-02,7.69570190e+02
2.70000000e+02,7.00000000e+01,2.00719164e-11,7.21844871e-01,2.59227662e-01,1.89274671e-02,7.69922302e+02
2.72000000e+02,7.00000000e+01,1.90069037e-11,7.28444458e-01,2.53256682e-01,1.82988594e-02,7.70256836e+02
2.74000000e+02,7.00000000e+01,1.80040947e-11,7.34932111e-01,2.47379476e-01,1.76884122e-02,7.70574890e+02
2.76000000e+02,7.00000000e+01,1.70595014e-11,7.41307234e-01,2.41597025e-01,1.70957405e-02,7.70877014e+02
2.78000000e+02,7.00000000e+01,1.61693905e-11,7.47569552e-01,2.35909947e-01,1.65205003e-02,7.71164368e+02
2.80000000e+02,7.00000000e+01,1.53302943e-11,7.53718768e-01,2.30318912e-01,1.59623197e-02,7.71437317e+02
2.82000000e+02,7.00000000e+01,1.45389759e-11,7.59755028e-01,2.24824159e-01,1.54208130e-02,7.71696899e+02
2.84000000e+02,7.00000000e+01,1.37924385e-11,7.65678151e-01,2.19426199e-01,1.48956507e-02,7.71943726e+02
2.86000000e+02,7.00000000e+01,1.30879014e-11,7.71488668e-01,2.14124894e-01,1.43864381e-02,7.72178589e+02
2.88000000e+02,7.00000000e+01,1.24227443e-11,7.77186619e-01,2.08920556e-01,1.38928249e-02,7.72401794e+02
2.90000000e+02,7.00000000e+01,1.17945540e-11,7.82772435e-01,2.03813119e-01,1.34144461e-02,7.72614197e+02
2.92000000e+02,7.00000000e+01,1.12010626e-11,7.88246773e-01,1.98802284e-01,1.29509435e-02,7.72816101e+02
2.94000000e+02,7.00000000e+01,1.06401702e-11,7.93609977e-01,1.93888062e-01,1.25019613e-02,7.73008362e+02
2.96000000e+02,7.00000000e+01,1.01099103e-11,7.98863030e-01,1.89069851e-01,1.20671185e-02,7.73191345e+02
2.98000000e+02,7.00000000e+01,9.60843211e-12,8.04006738e-01,1.84347171e-01,1.16460900e-02,7.73365417e+02
3.00000000e+02,7.00000000e+01,9.13403294e-12,8.09041595e-01,1.79719880e-01,1.12385255e-02,7.73531067e+02
1.50000000e+02,1.00000000e+02,1.65394209e-09,2.37182376e-01,6.73879537e-01,8.89380872e-02,6.49567871e+02
1.52000000e+02,1.00000000e+02,1.48731016e-09,2.45516959e-01,6.68167782e-01,8.63152590e-02,6.61701172e+02
1.54000000e+02,1.00000000e+02,1.34178746e-09,2.53817124e-01,6.62377051e-01,8.38058253e-02,6.73212708e+02
1.56000000e+02,1.00000000e+02,1.21411525e-09,2.62090482e-01,6.56507298e-01,8.14022202e-02,6.84135864e+02
1.58000000e+02,1.00000000e+02,1.10162701e-09,2.70342878e-01,6.50559473e-01,7.90976497e-02,6.94502136e+02
1.60000000e+02,1.00000000e+02,1.00212616e-09,2.78579671e-01,6.44534495e-01,7.68858344e-02,7.04341125e+02
1.62000000e+02,1.00000000e+02,9.13790488e-10,2.86804982e-01,6.38434121e-01,7.47608972e-02,7.13680969e+02
1.64000000e+02,1.00000000e+02,8.35098213e-10,2.95022347e-01,6.32260173e-01,7.27174799e-02,7.22548035e+02
1.66000000e+02,1.00000000e+02,7.64772412e-10,3.03234120e-01,6.26015235e-01,7.07506451e-02,7.30967285e+02
1.68000000e+02,1.00000000e+02,7.01736613e-10,3.11442629e-01,6.19701857e-01,6.88555133e-02,7.38962708e+02
1.70000000e+02,1.00000000e+02,6.45075660e-10,3.19649271e-01,6.13322804e-01,6.70279257e-02,7.46556091e+02
1.72000000e+02,1.00000000e+02,5.94010785e-10,3.27855458e-01,6.06880807e-01,6.52637359e-02,7.53768982e+02
1.74000000e+02,1.00000000e+02,5.47874912e-10,3.36061351e-01,6.00379458e-01,6.35591912e-02,7.60621155e+02
1.76000000e+02,1.00000000e+02,5.06095277e-10,3.44267060e-01,5.93822206e-01,6.19107338e-02,7.67131531e+02
1.78000000e+02,1.00000000e+02,4.68176664e-10,3.52472653e-01,5.87212240e-01,6.03151076e-02,7.73317932e+02
1.80000000e+02,1.00000000e+02,4.33690861e-10,3.60677781e-01,5.80552948e-01,5.87692707e-02,7.79197327e+02
1.82000000e+02,1.00000000e+02,4.02264833e-10,3.68881559e-01,5.73848029e-01,5.72704126e-02,7.84785522e+02
1.84000000e+02,1.00000000e+02,3.73574061e-10,3.77082901e-01,5.67101197e-01,5.58159015e-02,7.90097534e+02
1.86000000e+02,1.00000000e+02,3.47333967e-10,3.85280615e-01,5.60316106e-01,5.44032784e-02,7.95147888e+02
1.88000000e+02,1.00000000e+02,3.23294974e-10,3.93473458e-01,5.53496149e-01,5.30303923e-02,7.99949890e+02
1.90000000e+02,1.00000000e+02,3.01237507e-10,4.01659545e-01,5.46645322e-01,5.16951328e-02,8.04516479e+02
1.92000000e+02,1.00000000e+02,2.80967388e-10,4.09837360e-01,5.39767025e-01,5.03956144e-02,8.08859497e+02
