# Song, Cho, Karwasz, Kokoouline & Tennyson, J. Phys. Chem. Ref. Data 52, 023104 (2023), doi:10.1063/5.0150618,
# Fig. 19, vector paths from the NSF Public Access Repository copy https://par.nsf.gov/servlets/purl/10526876
# (sha256 f35b73d1f5f11291e6d844cdd8e324f99b6f5b17a9661d2568fca59e9604875d); extracted by scripts/chemistry/n2_domain_extension_requirements.py --extract-fig19.
# Frame: x log10 from ticks 10 eV (x=348.774 pt) and 1000 eV (534.467 pt); y linear from ticks 0.0 (223.626 pt)
# and 3.0 (86.866 pt) in 1e-16 cm^2. Series identified by the figure LEGEND (Majeed = green dashed, Kawaguchi =
# magenta solid); the caption says the reverse (broken/solid) - the text (Kawaguchi 'somewhat lower', Majeed uses
# Cosby) agrees with the legend. Markers: bounding-box centre (anchor ambiguity <= 0.5 pt ~ 0.011e-16 cm^2).
# Evidence: digitized (vector) from a secondary figure; MS1997/Kawaguchi primaries not accessed (abstract only).
series,x_pt,y_pt,E_eV,sigma_1e-16cm2
MS1997_curve,388.6800,176.9190,26.9033,1.02458
MS1997_curve,389.9590,175.5580,27.7704,1.05443
MS1997_curve,390.1990,175.3180,27.9361,1.05970
MS1997_curve,390.7590,174.7580,28.3268,1.07198
MS1997_curve,391.0790,174.4390,28.5525,1.07898
MS1997_curve,392.5180,173.1600,29.5899,1.10703
MS1997_curve,392.5980,173.0800,29.6486,1.10879
MS1997_curve,393.1570,172.5990,30.0625,1.11934
MS1997_curve,393.7980,172.1200,30.5442,1.12985
MS1997_curve,395.3960,171.0000,31.7790,1.15442
MS1997_curve,395.6370,170.8400,31.9695,1.15793
MS1997_curve,396.2760,170.4400,32.4802,1.16670
MS1997_curve,396.7560,170.1200,32.8691,1.17372
MS1997_curve,398.4350,169.3210,34.2667,1.19125
MS1997_curve,398.9160,169.0800,34.6779,1.19653
MS1997_curve,399.5550,168.7600,35.2318,1.20355
MS1997_curve,399.9550,168.6010,35.5831,1.20704
MS1997_curve,401.7140,167.9610,37.1696,1.22108
MS1997_curve,402.2740,167.8010,37.6895,1.22459
MS1997_curve,402.9140,167.6410,38.2924,1.22810
MS1997_curve,403.2340,167.5620,38.5975,1.22983
MS1997_curve,405.0730,167.1609,40.3986,1.23863
MS1997_curve,405.7930,167.0810,41.1264,1.24038
MS1997_curve,406.5130,166.9220,41.8674,1.24387
MS1997_curve,406.6720,166.9220,42.0328,1.24387
MS1997_curve,408.5110,166.6819,43.9942,1.24914
MS1997_curve,409.4710,166.6819,45.0542,1.24914
MS1997_curve,410.1110,166.6030,45.7750,1.25087
MS1997_curve,411.9490,166.6030,47.9098,1.25087
MS1997_curve,412.5090,166.6030,48.5798,1.25087
MS1997_curve,413.3090,166.6819,49.5532,1.24914
MS1997_curve,413.5480,166.6819,49.8478,1.24914
MS1997_curve,415.3880,166.7620,52.1752,1.24738
MS1997_curve,415.7080,166.7620,52.5909,1.24738
MS1997_curve,416.5880,166.8420,53.7512,1.24563
MS1997_curve,416.9880,166.8420,54.2871,1.24563
MS1997_curve,418.8270,167.0810,56.8203,1.24038
MS1997_curve,419.0660,167.0810,57.1581,1.24038
MS1997_curve,419.9460,167.2410,58.4192,1.23687
MS1997_curve,420.4260,167.3220,59.1188,1.23510
MS1997_curve,422.2660,167.5610,61.8790,1.22986
MS1997_curve,422.5050,167.5610,62.2468,1.22986
MS1997_curve,423.3850,167.7200,63.6202,1.22637
MS1997_curve,423.3850,167.7210,63.6202,1.22635
MS1997_curve,423.8650,167.8000,64.3821,1.22461
MS1997_curve,425.6240,168.2000,67.2528,1.21584
MS1997_curve,426.0250,168.2800,67.9249,1.21408
MS1997_curve,426.9050,168.4400,69.4236,1.21057
MS1997_curve,427.2240,168.5190,69.9750,1.20884
MS1997_curve,428.9830,168.9200,73.0951,1.20004
MS1997_curve,429.6230,169.0790,74.2645,1.19656
MS1997_curve,430.5020,169.3200,75.9012,1.19127
MS1997_curve,430.5830,169.3200,76.0538,1.19127
MS1997_curve,432.3410,169.7200,79.4430,1.18249
MS1997_curve,433.3020,170.0400,81.3591,1.17548
MS1997_curve,433.8620,170.2000,82.4968,1.17197
MS1997_curve,435.6210,170.6790,86.1753,1.16146
MS1997_curve,436.0210,170.8390,87.0344,1.15795
MS1997_curve,436.9800,171.0800,89.1291,1.15266
MS1997_curve,437.1410,171.1590,89.4857,1.15093
MS1997_curve,438.8990,171.7190,93.4734,1.13864
MS1997_curve,439.7790,172.0390,95.5358,1.13162
MS1997_curve,440.4190,172.2790,97.0642,1.12636
MS1997_curve,442.1780,172.8390,101.3922,1.11408
MS1997_curve,442.5790,172.9980,102.4055,1.11059
MS1997_curve,443.4570,173.3180,104.6598,1.10357
MS1997_curve,443.6170,173.3990,105.0759,1.10179
MS1997_curve,445.3770,174.0380,109.7638,1.08777
MS1997_curve,446.2570,174.4380,112.1856,1.07900
MS1997_curve,446.8960,174.6780,113.9776,1.07374
MS1997_curve,448.5770,175.3170,118.8296,1.05972
MS1997_curve,449.0560,175.5569,120.2496,1.05446
MS1997_curve,450.0150,175.9590,123.1438,1.04563
MS1997_curve,451.7750,176.6780,128.6378,1.02986
MS1997_curve,451.9350,176.7570,129.1493,1.02813
MS1997_curve,452.8950,177.1570,132.2609,1.01936
MS1997_curve,453.2150,177.3170,133.3147,1.01585
MS1997_curve,454.9750,178.1170,139.2625,0.99830
MS1997_curve,455.7730,178.4350,142.0460,0.99132
MS1997_curve,456.4140,178.6770,144.3221,0.98601
MS1997_curve,458.1720,179.4750,150.7535,0.96851
MS1997_curve,458.7320,179.7150,152.8617,0.96324
MS1997_curve,459.6120,180.1160,156.2345,0.95445
MS1997_curve,461.2910,180.9140,162.8773,0.93694
MS1997_curve,461.6920,181.0740,164.5051,0.93343
MS1997_curve,462.6510,181.5550,168.4645,0.92288
MS1997_curve,462.7300,181.5550,168.7948,0.92288
MS1997_curve,464.4110,182.3530,175.9804,0.90537
MS1997_curve,464.7300,182.5140,177.3781,0.90184
MS1997_curve,465.7700,182.9940,182.0126,0.89131
MS1997_curve,465.9310,183.0740,182.7407,0.88956
MS1997_curve,467.6090,183.7930,190.5058,0.87379
MS1997_curve,467.8490,183.8720,191.6431,0.87205
MS1997_curve,468.8890,184.3520,196.6502,0.86152
MS1997_curve,469.1280,184.4319,197.8193,0.85977
MS1997_curve,470.7280,185.2320,205.8265,0.84222
MS1997_curve,471.0490,185.3920,207.4716,0.83871
MS1997_curve,472.1680,185.8730,213.3098,0.82816
MS1997_curve,473.8470,186.5920,222.3793,0.81239
MS1997_curve,474.3270,186.8320,225.0423,0.80712
MS1997_curve,475.3670,187.3120,230.9221,0.79659
MS1997_curve,477.0460,188.0320,240.7405,0.78080
MS1997_curve,477.6860,188.2710,244.5920,0.77556
MS1997_curve,478.4860,188.6710,249.4931,0.76678
MS1997_curve,480.1650,189.3910,260.1011,0.75099
MS1997_curve,481.1240,189.7900,266.3613,0.74223
MS1997_curve,481.6840,190.0310,270.0863,0.73695
MS1997_curve,483.3650,190.7510,281.5838,0.72115
MS1997_curve,483.4430,190.7510,282.1290,0.72115
MS1997_curve,484.5630,191.2300,290.0753,0.71065
MS1997_curve,484.8040,191.3100,291.8142,0.70889
MS1997_curve,486.5620,192.1100,304.8182,0.69134
MS1997_curve,486.8830,192.2690,307.2545,0.68785
MS1997_curve,488.0020,192.7510,315.9005,0.67728
MS1997_curve,489.7620,193.4700,329.9942,0.66151
MS1997_curve,490.3210,193.7100,334.6009,0.65624
MS1997_curve,491.2010,194.0300,341.9834,0.64922
MS1997_curve,492.9600,194.7500,357.2320,0.63343
MS1997_curve,493.8400,195.0700,365.1139,0.62641
MS1997_curve,494.4800,195.3090,370.9552,0.62117
MS1997_curve,496.1590,196.0290,386.7275,0.60537
