# P5 vacuum radial magnetic field, channel centreline (R=12.7 mm), NIST-traceable Hall probe.
# Source: Peterson, Gallimore & Haas, AIAA 2001-3890, Fig. 12 (3.0 kW, I_in=3 A, I_out=2 A coil setting), extracted from the
# PDF vector paths by scripts/digitize_p5_bfield.py. z from anode face (exit plane at 38.0 mm in
# this figure). Unscaled; the driver shifts/scales it (see cases/*.json 'B_profile').
z_from_anode_face_mm,Br_G
4.05,31.60
5.02,34.83
6.37,38.93
7.08,40.99
7.34,42.16
8.76,47.44
9.66,51.84
11.08,58.00
11.98,61.22
13.39,68.55
14.30,72.95
15.71,79.11
16.16,80.28
16.68,83.51
17.84,89.96
18.74,94.07
20.16,100.52
21.06,103.74
22.48,109.90
23.44,114.30
24.80,120.46
25.05,121.63
25.76,121.63
27.12,121.63
28.08,120.46
29.69,121.63
30.40,122.80
32.01,121.63
32.98,120.46
34.40,119.58
35.30,117.23
36.71,115.18
37.17,114.30
37.62,113.13
39.03,109.02
39.94,106.68
41.35,103.74
42.32,100.52
43.67,97.29
44.64,94.07
46.06,89.96
46.96,87.61
48.57,84.39
49.08,82.34
49.28,81.46
50.89,78.23
51.85,76.18
53.27,72.95
54.17,70.90
55.59,67.67
56.49,65.33
57.91,62.39
58.17,62.39
58.81,60.05
60.23,58.00
60.94,57.12
61.19,55.94
62.55,53.89
63.51,52.72
64.93,49.49
65.83,48.61
67.44,46.27
68.15,45.39
69.83,43.33
70.02,43.33
70.73,42.16
72.15,40.99
73.05,40.11
74.46,38.05
75.37,36.88
76.78,35.71
77.75,34.83
79.10,33.66
80.07,32.78
81.42,30.43
81.94,30.43
82.39,30.43
83.81,29.55
84.71,28.38
86.32,27.20
87.03,26.32
88.70,25.15
89.60,25.15
91.02,24.27
91.92,23.10
93.34,23.10
94.05,21.92
94.24,21.92
95.66,21.05
96.62,21.05
