# Ragimkhanov et al., Eur. Phys. J. D 80, 69 (2026), CC BY 4.0, Fig. 1b electron MTCS, vector-path extraction (scripts/build_n_elastic_tables.py). curve: opm = present OPM calculation; wang = Wang et al. 2014 BSR as re-plotted in that figure. E in eV, sigma in a0^2.
curve,E_eV,sigma_a0sq
opm,13.2992,14.9914
opm,13.7466,14.9914
opm,13.7466,15.2278
opm,14.2103,15.2278
opm,14.2103,15.4432
opm,14.6884,15.4432
opm,14.8205,15.6617
opm,15.4442,15.6617
opm,15.569,15.8833
opm,16.2375,15.8833
opm,16.2375,16.1337
opm,16.7853,16.1337
opm,16.7853,16.3619
opm,17.4901,16.3619
opm,17.6313,16.5934
opm,18.5386,16.5934
opm,18.5386,16.8523
opm,18.6884,16.8523
opm,20.3111,16.8523
opm,20.4752,16.8523
opm,20.4752,17.0907
opm,20.8091,17.0907
opm,22.616,17.0907
opm,23.379,17.0907
opm,23.5678,16.8523
opm,25.409,16.5934
opm,25.409,16.8523
opm,27.3691,16.5934
opm,27.5902,16.3619
opm,28.5209,16.1337
opm,28.5209,16.3619
opm,29.4804,15.8833
opm,29.4804,16.1337
opm,30.475,15.6617
opm,30.475,15.8833
opm,31.2478,15.4432
opm,31.2478,15.6617
opm,31.7836,15.2278
opm,31.7836,15.4432
opm,32.5629,14.9914
opm,32.5629,15.2278
opm,33.3887,14.9914
opm,33.6614,14.7823
opm,34.2386,14.5761
opm,34.2386,14.7823
opm,34.7938,14.3728
opm,34.7938,14.5761
opm,35.3904,14.3728
opm,35.6794,14.1497
opm,36.2879,14.1497
opm,36.5843,13.9523
opm,37.2116,13.7577
opm,37.2116,13.9523
opm,37.815,13.5463
opm,37.815,13.7577
opm,38.4634,13.3573
opm,38.4634,13.5463
opm,39.4065,13.171
opm,39.4065,13.3573
opm,39.7574,12.9873
opm,39.7574,13.171
opm,40.4058,12.9873
opm,40.7321,12.7857
opm,41.4305,12.6074
opm,41.4305,12.7857
opm,41.7651,12.4315
opm,41.7651,12.6074
opm,42.4812,12.4315
opm,42.8243,12.2581
opm,43.5228,12.0678
opm,43.5228,12.2581
opm,44.269,11.8995
opm,44.269,12.0678
opm,44.6306,11.7335
opm,44.6306,11.8995
opm,45.3917,11.5532
opm,45.3917,11.7335
opm,46.132,11.392
opm,46.132,11.5532
opm,46.923,11.2313
opm,46.923,11.392
opm,47.302,11.2313
opm,47.6883,11.0747
opm,48.113,10.9045
opm,48.113,11.0747
opm,48.8977,10.7524
opm,48.8977,10.9045
opm,49.7362,10.6007
opm,49.7362,10.7524
opm,50.5473,10.4528
opm,50.5473,10.6007
opm,50.9556,10.4528
opm,51.4093,10.2922
opm,51.8293,10.147
opm,51.8293,10.2922
opm,52.6746,10.0055
opm,52.6746,10.147
opm,53.5729,9.85177
opm,53.5729,10.0055
opm,54.0104,9.85177
opm,54.4466,9.71434
opm,54.9365,9.5773
opm,54.9365,9.71434
opm,55.3802,9.44371
opm,55.3802,9.5773
opm,56.3297,9.44371
opm,56.7846,9.29861
opm,57.2485,9.1689
opm,57.2485,9.29861
opm,57.7108,9.1689
opm,58.2247,9.03955
opm,58.7003,8.90066
opm,58.7003,9.03955
opm,59.6523,8.7765
opm,59.6523,8.90066
opm,60.1835,8.7765
opm,60.6695,8.65408
opm,61.1651,8.532
opm,61.1651,8.65408
opm,61.659,8.4009
opm,61.659,8.532
opm,62.7163,8.28372
opm,62.7163,8.4009
opm,63.2285,8.16816
opm,63.2285,8.28372
opm,63.7391,8.16816
opm,64.3068,8.05294
opm,64.832,7.92921
opm,64.832,8.05294
opm,65.3556,7.8186
opm,65.3556,7.92921
opm,65.8894,7.8186
opm,66.4762,7.70954
opm,67.0131,7.59108
opm,67.5604,7.48399
opm,68.106,7.27666
opm,68.106,7.3796
opm,68.7188,7.16485
opm,68.7188,7.27666
opm,69.2738,7.06378
opm,69.2738,7.16485
opm,69.8332,6.96524
opm,69.8332,7.06378
opm,70.4616,6.86808
opm,70.4616,6.96524
opm,71.0306,6.76256
opm,71.0306,6.86808
opm,71.6108,6.66716
opm,71.6108,6.76256
opm,72.1891,6.57416
opm,72.1891,6.66716
opm,72.832,6.47315
opm,72.832,6.57416
opm,73.4269,6.38285
opm,73.4269,6.47315
opm,74.0199,6.29281
opm,74.0199,6.38285
opm,74.6245,6.29281
opm,79.0983,5.6862
opm,79.7371,5.60599
opm,79.7371,5.6862
opm,80.4472,5.51985
opm,80.4472,5.60599
opm,81.1043,5.44285
opm,81.1043,5.51985
opm,81.7593,5.36693
opm,81.7593,5.44285
opm,82.4271,5.29122
opm,82.4271,5.36693
opm,83.1612,5.29122
opm,83.8328,5.20992
opm,84.5175,5.13724
opm,85.2001,5.06558
opm,85.9588,4.98775
opm,85.9588,5.06558
opm,86.6609,4.91739
opm,86.6609,4.98775
opm,87.3608,4.8488
opm,87.3608,4.91739
opm,88.1468,4.78116
opm,88.1468,4.8488
opm,88.8587,4.7077
opm,88.8587,4.78116
opm,89.5763,4.64129
opm,89.5763,4.7077
opm,90.2997,4.57654
opm,90.2997,4.64129
opm,91.1122,4.57654
opm,91.848,4.5127
opm,92.5898,4.44337
opm,92.5898,4.5127
opm,93.346,4.38069
opm,93.346,4.44337
opm,94.1773,4.38069
opm,94.9379,4.31958
opm,95.7134,4.25321
opm,96.4863,4.19388
opm,96.4863,4.25321
opm,97.3456,4.13472
opm,97.3456,4.19388
opm,98.1407,4.07704
opm,98.1407,4.13472
opm,98.9333,4.0144
opm,98.9333,4.07704
opm,99.7414,3.9584
opm,101.452,3.8426
opm,101.452,3.90256
opm,102.271,3.8426
opm,103.106,3.789
opm,104.024,3.73614
opm,104.024,3.789
opm,104.865,3.68344
opm,104.865,3.73614
opm,105.721,3.62684
opm,105.721,3.68344
opm,106.575,3.62684
opm,107.524,3.57625
opm,108.402,3.52636
opm,108.402,3.57625
opm,109.278,3.47662
opm,109.278,3.52636
opm,110.261,3.47662
opm,111.151,3.4232
opm,112.049,3.37545
opm,112.964,3.32836
opm,113.97,3.27722
opm,113.97,3.32836
opm,114.901,3.23099
opm,114.901,3.27722
opm,115.829,3.18592
opm,115.829,3.23099
opm,116.775,3.14148
opm,116.775,3.18592
opm,117.815,3.14148
opm,118.767,3.09321
opm,119.737,3.04958
opm,120.704,3.00704
opm,120.704,3.04958
opm,121.779,2.96509
opm,121.779,3.00704
opm,122.773,2.91953
opm,122.773,2.96509
opm,123.765,2.87835
opm,123.765,2.91953
opm,125.887,2.8382
opm,125.887,2.87835
opm,126.915,2.79459
opm,126.915,2.8382
opm,127.94,2.75561
opm,127.94,2.79459
opm,128.973,2.75561
opm,130.134,2.71673
opm,131.185,2.67884
opm,132.244,2.63768
opm,132.244,2.67884
opm,133.434,2.60088
opm,133.434,2.63768
opm,134.512,2.60088
opm,135.598,2.56419
opm,136.693,2.5248
opm,136.693,2.56419
opm,137.923,2.48958
opm,137.923,2.5248
opm,139.037,2.48958
opm,140.16,2.45485
opm,141.304,2.42022
opm,142.563,2.38303
opm,142.563,2.42022
opm,143.727,2.34979
opm,143.727,2.38303
opm,146.071,2.31701
opm,146.071,2.34979
opm,147.372,2.28433
opm,147.372,2.31701
opm,148.562,2.24923
opm,148.562,2.28433
opm,149.776,2.24923
opm,150.985,2.21785
opm,152.33,2.18692
opm,152.33,2.21785
opm,153.574,2.15331
opm,153.574,2.18692
opm,154.814,2.12294
opm,154.814,2.15331
opm,156.079,2.09332
opm,156.079,2.12294
opm,157.469,2.06412
opm,157.469,2.09332
opm,158.741,2.06412
opm,160.037,2.03241
opm,161.33,2.00374
opm,162.781,1.97579
opm,162.781,2.00374
opm,164.096,1.94823
opm,164.096,1.97579
opm,165.436,1.91829
opm,165.436,1.94823
opm,166.909,1.89123
opm,166.909,1.91829
opm,168.257,1.89123
opm,169.632,1.86485
opm,171.002,1.8362
opm,171.002,1.86485
opm,172.525,1.81058
opm,172.525,1.8362
opm,175.338,1.78504
opm,175.338,1.81058
opm,176.771,1.76014
opm,176.771,1.78504
opm,178.345,1.7331
opm,178.345,1.76014
opm,181.254,1.70892
opm,181.254,1.7331
opm,182.717,1.68481
opm,182.717,1.70892
opm,184.361,1.66131
opm,184.361,1.68481
opm,187.368,1.63579
opm,187.368,1.66131
opm,188.881,1.61297
opm,188.881,1.63579
opm,190.563,1.59047
opm,190.563,1.61297
opm,192.12,1.56578
opm,192.12,1.59047
opm,193.672,1.54394
opm,193.672,1.56578
opm,195.253,1.54394
opm,196.992,1.5224
opm,198.583,1.50117
opm,200.205,1.47787
opm,201.822,1.45725
opm,201.822,1.47787
opm,203.638,1.43692
opm,203.638,1.45725
opm,206.94,1.41462
opm,206.94,1.43692
opm,208.783,1.39489
opm,208.783,1.41462
opm,210.469,1.37543
opm,210.469,1.39489
opm,212.188,1.35624
opm,212.188,1.37543
opm,213.902,1.35624
opm,215.807,1.3354
opm,217.57,1.31678
opm,217.57,1.3354
opm,219.327,1.29841
opm,219.327,1.31678
opm,221.118,1.28009
opm,221.118,1.29841
opm,223.087,1.26042
opm,223.087,1.28009
opm,226.726,1.24284
opm,226.726,1.26042
opm,228.557,1.2255
opm,228.557,1.24284
opm,230.613,1.2255
opm,232.476,1.20648
opm,234.375,1.18965
opm,234.375,1.20648
opm,236.267,1.17306
opm,236.267,1.18965
opm,238.372,1.15669
opm,238.372,1.17306
opm,242.259,1.13874
opm,242.259,1.15669
opm,244.238,1.12285
opm,244.238,1.13874
opm,246.413,1.10719
opm,246.413,1.12285
opm,248.403,1.10719
opm,250.432,1.09175
opm,252.455,1.07497
opm,252.455,1.09175
opm,254.703,1.05981
opm,254.703,1.07497
opm,258.857,1.04502
opm,258.857,1.05981
opm,261.186,1.02897
opm,261.186,1.04502
opm,263.295,1.01461
opm,263.295,1.02897
opm,265.446,1.01461
opm,267.59,1.0003
opm,269.973,0.986348
opm,272.178,0.971193
opm,272.178,0.986348
opm,274.376,0.957645
opm,274.376,0.971193
opm,276.617,0.957645
opm,279.08,0.944136
opm,281.334,0.92963
opm,281.334,0.944136
opm,283.632,0.92963
opm,285.923,0.916662
opm,288.495,0.903875
opm,288.495,0.916662
opm,290.825,0.903875
opm,293.174,0.891124
opm,295.569,0.877432
opm,295.569,0.891124
opm,298.201,0.865193
opm,298.201,0.877432
opm,300.636,0.865193
opm,303.064,0.853124
opm,305.512,0.841089
opm,308.261,0.828166
opm,308.261,0.841089
opm,310.75,0.816614
opm,310.75,0.828166
opm,313.26,0.805222
opm,313.26,0.816614
opm,318.602,0.79285
opm,318.602,0.805222
opm,321.204,0.781666
opm,321.204,0.79285
opm,323.798,0.781666
opm,326.712,0.770762
opm,329.35,0.760011
opm,332.04,0.748333
opm,332.04,0.760011
opm,334.722,0.737777
opm,334.722,0.748333
opm,337.703,0.727485
opm,337.703,0.737777
opm,340.461,0.727485
opm,343.211,0.717337
opm,346.014,0.706315
opm,346.014,0.717337
opm,349.095,0.696352
opm,349.095,0.706315
opm,351.915,0.686638
opm,351.915,0.696352
opm,357.654,0.676088
opm,357.654,0.686638
opm,360.839,0.666657
opm,360.839,0.676088
opm,363.787,0.657252
opm,363.787,0.666657
opm,366.725,0.657252
opm,369.72,0.648084
opm,373.013,0.638127
opm,373.013,0.648084
opm,376.059,0.629225
opm,376.059,0.638127
opm,379.096,0.629225
opm,382.193,0.620349
opm,385.596,0.610817
opm,388.71,0.602297
opm,388.71,0.610817
opm,391.885,0.593895
opm,391.885,0.602297
opm,398.568,0.585517
opm,398.568,0.593895
opm,401.824,0.576521
opm,401.824,0.585517
opm,405.069,0.568479
opm,405.069,0.576521
opm,408.714,0.560549
opm,408.714,0.568479
opm,412.014,0.552641
opm,412.014,0.560549
opm,415.342,0.54415
opm,415.342,0.552641
opm,422.463,0.53656
opm,422.463,0.54415
opm,425.914,0.529075
opm,425.914,0.53656
opm,432.861,0.520946
opm,432.861,0.529075
opm,436.715,0.513597
opm,436.715,0.520946
opm,443.838,0.506433
opm,443.838,0.513597
opm,447.423,0.499368
opm,447.423,0.506433
opm,451.407,0.491695
opm,451.407,0.499368
opm,455.094,0.484759
opm,455.094,0.491695
opm,458.769,0.477997
opm,458.769,0.484759
opm,462.474,0.471329
opm,462.474,0.477997
opm,466.636,0.464088
opm,466.636,0.471329
opm,470.404,0.457541
opm,470.404,0.464088
opm,474.203,0.457541
opm,478.033,0.451158
opm,482.334,0.444226
opm,482.334,0.451158
opm,486.229,0.43803
opm,486.229,0.444226
opm,490.201,0.431851
opm,490.201,0.43803
opm,494.566,0.431851
opm,498.56,0.425827
opm,502.632,0.419284
opm,502.632,0.425827
opm,506.692,0.413435
opm,506.692,0.419284
opm,511.204,0.413435
opm,515.379,0.407603
opm,519.542,0.40134
opm,523.785,0.395742
opm,523.785,0.40134
opm,532.766,0.390221
opm,532.766,0.395742
opm,537.069,0.384717
opm,537.069,0.390221
opm,541.406,0.378805
opm,541.406,0.384717
opm,546.277,0.373521
opm,546.277,0.378805
opm,550.689,0.373521
opm,555.187,0.368311
opm,559.671,0.363115
opm,564.655,0.357536
opm,564.655,0.363115
opm,569.267,0.352549
opm,569.267,0.357536
opm,573.864,0.347631
opm,573.864,0.352549
opm,578.552,0.347631
opm,583.704,0.34229
opm,588.418,0.337461
opm,593.224,0.332754
opm,593.224,0.337461
opm,598.015,0.328112
opm,598.015,0.332754
opm,603.395,0.323071
opm,603.395,0.328112
opm,608.268,0.323071
opm,613.237,0.318513
opm,618.698,0.31407
opm,623.694,0.309689
opm,623.694,0.31407
opm,628.789,0.304931
opm,628.789,0.309689
opm,633.867,0.300629
opm,633.867,0.304931
opm,639.512,0.300629
opm,644.735,0.296436
opm,649.942,0.291881
opm,649.942,0.296436
opm,655.251,0.287809
opm,655.251,0.291881
opm,661.086,0.283749
opm,661.086,0.287809
opm,666.425,0.283749
opm,671.868,0.279791
opm,677.294,0.275492
opm,683.388,0.271649
opm,688.907,0.267817
opm,688.907,0.271649
opm,694.534,0.264081
opm,694.534,0.267817
opm,700.079,0.260024
opm,700.079,0.264081
opm,706.378,0.260024
opm,712.083,0.256397
opm,717.899,0.25278
opm,723.697,0.248896
opm,730.142,0.245424
opm,730.142,0.248896
opm,736.038,0.241962
opm,736.038,0.245424
opm,742.05,0.238587
opm,742.05,0.241962
opm,748.043,0.234921
opm,748.043,0.238587
opm,754.774,0.231644
opm,754.774,0.234921
opm,760.869,0.231644
opm,767.014,0.228376
opm,773.915,0.224867
opm,780.165,0.22173
opm,780.165,0.224867
opm,786.538,0.218637
opm,786.538,0.22173
opm,792.89,0.218637
opm,799.951,0.215553
opm,806.485,0.212241
opm,812.998,0.20928
opm,819.638,0.206361
opm,819.638,0.20928
opm,826.938,0.20345
opm,826.938,0.206361
opm,833.616,0.200324
opm,833.616,0.20345
opm,840.425,0.19753
opm,840.425,0.200324
opm,847.212,0.194774
opm,847.212,0.19753
opm,854.835,0.191782
opm,854.835,0.194774
opm,861.738,0.191782
opm,868.777,0.189076
opm,875.793,0.186439
opm,875.793,0.189076
opm,883.593,0.183838
opm,883.593,0.186439
opm,890.81,0.181013
opm,890.81,0.183838
opm,898.004,0.17846
opm,898.004,0.181013
opm,905.339,0.17597
opm,905.339,0.17846
opm,913.401,0.173516
opm,913.401,0.17597
opm,920.778,0.173516
opm,928.299,0.17085
opm,935.795,0.16844
opm,935.795,0.17085
opm,944.129,0.16609
opm,944.129,0.16844
opm,951.841,0.163538
opm,951.841,0.16609
opm,959.528,0.161257
opm,959.528,0.163538
opm,968.161,0.159007
opm,968.161,0.161257
opm,975.98,0.156789
opm,975.98,0.159007
opm,983.952,0.154356
opm,983.952,0.156789
opm,991.898,0.154356
opm,1000.73,0.152203
opm,1017.05,0.14775
opm,1025.36,0.145689
opm,1025.36,0.14775
opm,1034.49,0.143657
opm,1034.49,0.145689
opm,1042.85,0.141653
opm,1042.85,0.143657
opm,1051.36,0.139454
opm,1051.36,0.141653
